Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Minnesota,US,2021-01-14 05:30:28,45.6945,-93.9002,440354,5842,419139,15373,27,7808.20450696074,5733978,,1.32665991452332,84000027,USA,101672.910572888,
Mississippi,US,2021-01-14 05:30:28,32.7416,-89.6787,243899,5315,198888,39696,28,8195.12060720078,1466825,,2.17918072644824,84000028,USA,49286.0068497915,
Missouri,US,2021-01-14 05:30:28,38.4561,-92.2884,489319,6411,,,29,7972.70452704292,3859023,,1.3101882412087,84000029,USA,62876.876111622,
Montana,US,2021-01-14 05:30:28,46.9219,-110.4544,87653,1069,81676,4908,30,8201.23542962149,855069,,1.21958175989413,84000030,USA,80004.3601196881,
Nebraska,US,2021-01-14 05:30:28,41.1254,-98.2681,179199,1803,120700,56696,31,9263.76441784774,1874707,,1.00614400750004,84000031,USA,96913.7327802615,
Nevada,US,2021-01-14 05:30:28,38.3135,-117.0554,253985,3596,,,32,8245.84858688976,2268691,,1.415831643601,84000032,USA,73655.0681199264,
New Hampshire,US,2021-01-14 05:30:28,43.4525,-71.5639,55378,885,46633,7860,33,4072.77722986723,1112047,,1.59810755173535,84000033,USA,81785.5411922092,
New Jersey,US,2021-01-14 05:30:28,40.2989,-74.521,602629,20161,60769,521699,34,6784.68936152008,8477286,,3.3455077668018,84000034,USA,95441.3945209459,
New Mexico,US,2021-01-14 05:30:28,34.8405,-106.2485,159119,2807,81603,74709,35,7588.55395456663,2124990,,1.76408851237124,84000035,USA,101343.027972238,
New York,US,2021-01-14 05:30:28,42.1657,-74.9481,1179266,40005,112023,1027238,36,6061.95441544096,27918445,,3.39236440294217,84000036,USA,143513.287875675,
North Carolina,US,2021-01-14 05:30:28,35.6301,-79.8064,641073,7745,521475,111853,37,6112.39383666264,7766179,,1.20813074330069,84000037,USA,74047.643020403,
